Geo Code,Geo,Crime Code,Crime,Value,Year,Indicator Code,Formule,Measure Of Unit
11A1316,Vila do Conde,1,Crimes of assault,4.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0105,Aveiro,1,Crimes of assault,6.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0108,Estarreja,1,Crimes of assault,7.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0110,Ílhavo,1,Crimes of assault,4.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0112,Murtosa,1,Crimes of assault,8.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0114,Oliveira do Bairro,1,Crimes of assault,4.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0115,Ovar,1,Crimes of assault,6.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0117,Sever do Vouga,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16D0118,Vagos,1,Crimes of assault,4.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E,Região de Coimbra,1,Crimes of assault,5.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0111,Mealhada,1,Crimes of assault,4.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0601,Arganil,1,Crimes of assault,5.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0602,Cantanhede,1,Crimes of assault,5.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0603,Coimbra,1,Crimes of assault,6.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0604,Condeixa-a-Nova,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0605,Figueira da Foz,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0606,Góis,1,Crimes of assault,3.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0607,Lousã,1,Crimes of assault,7.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0608,Mira,1,Crimes of assault,3.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0609,Miranda do Corvo,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0610,Montemor-o-Velho,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0611,Oliveira do Hospital,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0612,Pampilhosa da Serra,1,Crimes of assault,1.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0613,Penacova,1,Crimes of assault,3.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0614,Penela,1,Crimes of assault,3.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0615,Soure,1,Crimes of assault,2.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0908,Manteigas,1,Crimes of assault,6.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0909,Mêda,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0910,Pinhel,1,Crimes of assault,3.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0911,Sabugal,1,Crimes of assault,2.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0912,Seia,1,Crimes of assault,6.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0913,Trancoso,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
17,Área Metropolitana de Lisboa,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861211,Monforte,1,Crimes of assault,3.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861212,Nisa,1,Crimes of assault,2.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861213,Ponte de Sor,1,Crimes of assault,5.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840210,Moura,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840212,Ourique,1,Crimes of assault,2.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840213,Serpa,1,Crimes of assault,3.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840214,Vidigueira,1,Crimes of assault,7.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
185,Lezíria do Tejo,1,Crimes of assault,5.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851103,Azambuja,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851403,Almeirim,1,Crimes of assault,5.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851404,Alpiarça,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851405,Benavente,1,Crimes of assault,7.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851406,Cartaxo,1,Crimes of assault,6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851407,Chamusca,1,Crimes of assault,6.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851409,Coruche,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851412,Golegã,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851414,Rio Maior,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851415,Salvaterra de Magos,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1851416,Santarém,1,Crimes of assault,5.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
186,Alto Alentejo,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861201,Alter do Chão,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861202,Arronches,1,Crimes of assault,1.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861203,Avis,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861204,Campo Maior,1,Crimes of assault,6.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861205,Castelo de Vide,1,Crimes of assault,2.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861206,Crato,1,Crimes of assault,6.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861207,Elvas,1,Crimes of assault,8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861208,Fronteira,1,Crimes of assault,2.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861209,Gavião,1,Crimes of assault,2.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1861210,Marvão,1,Crimes of assault,3.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0616,Tábua,1,Crimes of assault,6.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E0617,Vila Nova de Poiares,1,Crimes of assault,4.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16E1808,Mortágua,1,Crimes of assault,2.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F,Região de Leiria,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1002,Alvaiázere,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1003,Ansião,1,Crimes of assault,3.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1004,Batalha,1,Crimes of assault,5.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1007,Castanheira de Pêra,1,Crimes of assault,8.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1008,Figueiró dos Vinhos,1,Crimes of assault,3.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1009,Leiria,1,Crimes of assault,4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1010,Marinha Grande,1,Crimes of assault,6.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1013,Pedrógão Grande,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1015,Pombal,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16F1016,Porto de Mós,1,Crimes of assault,5.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G,Viseu Dão Lafões,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G0901,Aguiar da Beira,1,Crimes of assault,2.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1802,Carregal do Sal,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1803,Castro Daire,1,Crimes of assault,2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1811509,Santiago do Cacém,1,Crimes of assault,3.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1811513,Sines,1,Crimes of assault,4.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
184,Baixo Alentejo,1,Crimes of assault,4.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840201,Aljustrel,1,Crimes of assault,2.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840202,Almodôvar,1,Crimes of assault,2.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840203,Alvito,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840204,Barrancos,1,Crimes of assault,6.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840205,Beja,1,Crimes of assault,5.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840206,Castro Verde,1,Crimes of assault,2.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840207,Cuba,1,Crimes of assault,4.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840208,Ferreira do Alentejo,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
1840209,Mértola,1,Crimes of assault,3.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1408,Constância,1,Crimes of assault,3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1410,Entroncamento,1,Crimes of assault,5.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1411,Ferreira do Zêzere,1,Crimes of assault,4.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1413,Mação,1,Crimes of assault,2.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1417,Sardoal,1,Crimes of assault,1.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1418,Tomar,1,Crimes of assault,5.1,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1419,Torres Novas,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1420,Vila Nova da Barquinha,1,Crimes of assault,3.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1421,Ourém,1,Crimes of assault,4.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J,Beiras e Serra da Estrela,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0501,Belmonte,1,Crimes of assault,10.4,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0503,Covilhã,1,Crimes of assault,5.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0504,Fundão,1,Crimes of assault,3.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0902,Almeida,1,Crimes of assault,4.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0903,Celorico da Beira,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0904,Figueira de Castelo Rodrigo,1,Crimes of assault,7.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0905,Fornos de Algodres,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0906,Gouveia,1,Crimes of assault,2.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16J0907,Guarda,1,Crimes of assault,3.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1806,Mangualde,1,Crimes of assault,3.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1809,Nelas,1,Crimes of assault,3.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1810,Oliveira de Frades,1,Crimes of assault,2.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1811,Penalva do Castelo,1,Crimes of assault,4.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1814,Santa Comba Dão,1,Crimes of assault,4.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1816,São Pedro do Sul,1,Crimes of assault,3.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1817,Sátão,1,Crimes of assault,3.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1821,Tondela,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1822,Vila Nova de Paiva,1,Crimes of assault,5.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1823,Viseu,1,Crimes of assault,6.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16G1824,Vouzela,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H,Beira Baixa,1,Crimes of assault,5.2,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H0502,Castelo Branco,1,Crimes of assault,5.6,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H0505,Idanha-a-Nova,1,Crimes of assault,5.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H0506,Oleiros,1,Crimes of assault,5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H0507,Penamacor,1,Crimes of assault,3.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H0508,Proença-a-Nova,1,Crimes of assault,2.9,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16H0511,Vila Velha de Ródão,1,Crimes of assault,3.7,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I,Médio Tejo,1,Crimes of assault,4.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I0509,Sertã,1,Crimes of assault,3.3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I0510,Vila de Rei,1,Crimes of assault,3.5,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1401,Abrantes,1,Crimes of assault,4.8,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
16I1402,Alcanena,1,Crimes of assault,3,2011,0008074,(Number of crimes/ Resident population)*1000,Permillage
